"ACS16:B24124. Detailed Occupation for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over"			
"Financial Specialists, All Other"	"47,467"	0.00%	"2,368.48"
Computer and Information Research Scientists	"16,406"	0.00%	"1,082.42"
Computer Systems Analysts	"448,325"	0.40%	"6,258.79"
Information Security Analysts	"74,659"	0.10%	"2,969.09"
Computer Programmers	"370,512"	0.40%	"5,178.79"
"Software Developers, Applications and Systems Software"	"1,124,661"	1.10%	"10,690.91"
Web Developers	"138,048"	0.10%	"3,980"
Computer Support Specialists	"553,718"	0.50%	"7,776.36"
Database Administrators	"99,602"	0.10%	"2,903.03"
Network and Computer Systems Administrators	"192,293"	0.20%	"5,041.82"
Computer Network Architects	"92,872"	0.10%	"3,345.45"
"Computer Occupations, All Other"	"569,272"	0.50%	"7,483.03"
Actuaries	"25,197"	0.00%	"1,431.52"
Mathematicians	"1,288"	0.00%	233.33
Operations Research Analysts	"126,989"	0.10%	"3,925.45"
Statisticians	"47,469"	0.00%	"2,108.48"
Miscellaneous Mathematical Science Occupations	"3,041"	0.00%	516.36
"Architects, Except Naval"	"157,568"	0.20%	"3,714.55"
"Surveyors, Cartographers, and Photogrammetrists"	"27,429"	0.00%	"1,733.33"
Aerospace Engineers	"114,956"	0.10%	"3,233.94"
Agricultural Engineers	"1,976"	0.00%	377.58
Biomedical Engineers	"12,988"	0.00%	"1,144.85"
Chemical Engineers	"57,812"	0.10%	"2,738.79"
Civil Engineers	"311,007"	0.30%	"5,995.15"
Computer Hardware Engineers	"48,767"	0.10%	"2,461.21"
Electrical and Electronics Engineers	"186,214"	0.20%	"4,564.85"
Environmental Engineers	"27,552"	0.00%	"1,900"
"Industrial Engineers, Including Health and Safety"	"183,615"	0.20%	"4,443.64"
Marine Engineers and Naval Architects	"10,619"	0.00%	"1,007.27"
Materials Engineers	"34,668"	0.00%	"1,536.36"
Mechanical Engineers	"245,579"	0.20%	"4,990.91"
"Mining and Geological Engineers, Including Mining Safety Engineers"	"8,540"	0.00%	"1,158.18"
Nuclear Engineers	"6,902"	0.00%	796.97
Petroleum Engineers	"22,671"	0.00%	"1,703.64"
"Engineers, All Other"	"471,817"	0.40%	"7,233.94"
Drafters	"132,332"	0.10%	"3,682.42"
"Engineering Technicians, Except Drafters"	"319,240"	0.30%	"6,018.79"
Surveying and Mapping Technicians	"55,079"	0.10%	"2,719.39"
Agricultural and Food Scientists	"21,091"	0.00%	"1,316.36"
Biological Scientists	"65,111"	0.10%	"2,377.58"
Conservation Scientists and Foresters	"18,235"	0.00%	"1,195.76"
Medical Scientists	"116,550"	0.10%	"3,547.27"
"Life Scientists, All Other"	"4,116"	0.00%	490.3
Astronomers and Physicists	"9,881"	0.00%	"1,003.03"
Atmospheric and Space Scientists	"10,037"	0.00%	892.12
Chemists and Materials Scientists	"77,023"	0.10%	"2,275.15"
Environmental Scientists and Geoscientists	"63,449"	0.10%	"2,139.39"
"Physical Scientists, All Other"	"192,236"	0.20%	"3,799.39"
Economists	"21,747"	0.00%	"1,438.18"
Survey Researchers	"1,453"	0.00%	332.12
Psychologists	"121,887"	0.10%	"2,878.18"
Urban and Regional Planners	"21,747"	0.00%	"1,199.39"
"Miscellaneous Social Scientists and Related Workers, Including Sociologists"	"24,486"	0.00%	"1,709.70"
Agricultural and Food Science Technicians	"27,668"	0.00%	"1,544.85"
Biological Technicians	"16,216"	0.00%	"1,217.58"
Chemical Technicians	"56,741"	0.10%	"2,325.45"
Geological and Petroleum Technicians	"12,268"	0.00%	"1,141.82"
Nuclear Technicians	"3,432"	0.00%	506.67
Social Science Research Assistants	"1,723"	0.00%	427.88
"Miscellaneous Life, Physical, and Social Science Technicians"	"127,222"	0.10%	"3,729.09"
Counselors	"536,072"	0.50%	"6,816.36"
Social Workers	"704,192"	0.70%	"8,907.88"
Probation Officers and Correctional Treatment Specialists	"81,680"	0.10%	"2,901.21"
Social and Human Service Assistants	"146,414"	0.10%	"3,978.79"
"Miscellaneous Community and Social Service Specialists, Including Health Educators and Community Health Workers"	"63,963"	0.10%	"2,616.97"
Clergy	"347,581"	0.30%	"5,919.39"
"Directors, Religious Activities and Education"	"45,090"	0.00%	"2,004.24"
"Religious Workers, All Other"	"40,939"	0.00%	"2,038.79"
Lawyers	"891,088"	0.80%	"7,973.94"
Judicial Law Clerks	"10,323"	0.00%	919.39
"Judges, Magistrates, and Other Judicial Workers"	"58,544"	0.10%	"2,341.82"
Paralegals and Legal Assistants	"318,793"	0.30%	"5,710.91"
Miscellaneous Legal Support Workers	"126,357"	0.10%	"3,753.94"
Postsecondary Teachers	"881,345"	0.80%	"9,198.79"
Preschool and Kindergarten Teachers	"339,677"	0.30%	"6,460.61"
Elementary and Middle School Teachers	"2,398,445"	2.30%	"15,447.27"
Secondary School Teachers	"536,264"	0.50%	"7,852.12"
Special Education Teachers	"178,054"	0.20%	"4,424.24"
Other Teachers and Instructors	"356,475"	0.30%	"6,382.42"
"Archivists, Curators, and Museum Technicians"	"36,260"	0.00%	"1,860.61"
Librarians	"115,076"	0.10%	"3,313.33"
Library Technicians	"11,386"	0.00%	895.76
Teacher Assistants	"421,376"	0.40%	"6,829.70"
"Other Education, Training, and Library Workers, Except Teacher Assistants"	"74,463"	0.10%	"2,862.42"
Artists and Related Workers	"121,771"	0.10%	"3,465.45"
Designers	"628,865"	0.60%	"7,770.91"
Actors	"14,423"	0.00%	"1,355.76"
Producers and Directors	"121,999"	0.10%	"3,132.12"
"Athletes, Coaches, Umpires, and Related Workers"	"123,505"	0.10%	"4,254.55"
Dancers and Choreographers	"6,556"	0.00%	863.64
"Musicians, Singers, and Related Workers"	"66,779"	0.10%	"3,358.18"
"Entertainers and Performers, Sports and Related Workers, All Other"	"18,325"	0.00%	"1,354.55"
Announcers	"26,152"	0.00%	"1,809.70"
"News Analysts, Reporters and Correspondents"	"57,202"	0.10%	"2,406.06"
Public Relations Specialists	"103,540"	0.10%	"3,237.58"
Editors	"125,387"	0.10%	"2,955.15"
Technical Writers	"47,360"	0.00%	"1,986.67"
Writers and Authors	"132,235"	0.10%	"3,315.15"
Miscellaneous Media and Communication Workers	"54,009"	0.10%	"2,628.48"
"Miscellaneous Media and Communications Equipment Workers, Including Broadcast and Sound Engineering Technicians and Radio Operators"	"70,806"	0.10%	"2,601.21"
Photographers	"90,481"	0.10%	"2,737.58"
"Television, Video, and Motion Picture Camera Operators and Editors"	"37,742"	0.00%	"1,842.42"
Chiropractors	"40,960"	0.00%	"2,115.76"
Dentists	"93,294"	0.10%	"2,967.88"
Dietitians and Nutritionists	"70,729"	0.10%	"2,730.91"
Optometrists	"27,134"	0.00%	"1,381.21"
Pharmacists	"214,665"	0.20%	"4,569.09"
Physicians and Surgeons	"743,383"	0.70%	"8,670.30"
Physician Assistants	"76,018"	0.10%	"2,416.97"
Podiatrists	"6,093"	0.00%	679.39
Audiologists	"11,195"	0.00%	"1,072.73"
Occupational Therapists	"72,099"	0.10%	"2,803.03"
Physical Therapists	"162,536"	0.20%	"3,776.97"
Radiation Therapists	"10,165"	0.00%	881.21
Recreational Therapists	"10,160"	0.00%	"1,084.85"
Respiratory Therapists	"92,125"	0.10%	"3,064.85"
Speech-Language Pathologists	"87,443"	0.10%	"3,148.48"
"Miscellaneous Therapists, Including Exercise Physiologists"	"107,797"	0.10%	"3,543.03"
Veterinarians	"65,797"	0.10%	"2,469.70"
Registered Nurses	"2,317,493"	2.20%	"15,589.09"
Nurse Anesthetists	"26,253"	0.00%	"1,769.70"
Nurse Midwives	"4,001"	0.00%	543.64
Nurse Practitioners	"116,166"	0.10%	"2,987.27"
"Health Diagnosing and Treating Practitioners, All Other"	"13,264"	0.00%	"1,088.48"
Clinical Laboratory Technologists and Technicians	"245,278"	0.20%	"4,620.61"
Dental Hygienists	"71,498"	0.10%	"2,384.85"
Diagnostic Related Technologists and Technicians	"263,276"	0.30%	"4,913.33"
Emergency Medical Technicians and Paramedics	"167,315"	0.20%	"3,790.91"
Health Practitioner Support Technologists and Technicians	"440,607"	0.40%	"7,634.55"
Licensed Practical and Licensed Vocational Nurses	"602,316"	0.60%	"8,755.76"
Medical Records and Health Information Technicians	"148,302"	0.10%	"3,727.27"
"Opticians, Dispensing"	"48,366"	0.10%	"2,590.91"
Miscellaneous Health Technologists and Technicians	"97,277"	0.10%	"2,407.27"
Other Healthcare Practitioners and Technical Occupations	"105,941"	0.10%	"3,486.06"
"Nursing, Psychiatric, and Home Health Aides"	"1,256,050"	1.20%	"14,275.15"
Occupational Therapy Assistants and Aides	"13,820"	0.00%	918.18
Physical Therapist Assistants and Aides	"59,281"	0.10%	"2,264.24"
Massage Therapists	"67,798"	0.10%	"2,843.03"
Dental Assistants	"167,955"	0.20%	"4,419.39"
Medical Assistants	"382,920"	0.40%	"6,301.82"
Medical Transcriptionists	"20,559"	0.00%	"1,264.24"
Pharmacy Aides	"21,617"	0.00%	"1,624.24"
Veterinary Assistants and Laboratory Animal Caretakers	"28,193"	0.00%	"1,575.15"
Phlebotomists	"82,446"	0.10%	"2,820"
"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"	"104,670"	0.10%	"2,813.33"
First-Line Supervisors of Correctional Officers	"55,565"	0.10%	"2,047.27"
First-Line Supervisors of Police and Detectives	"100,335"	0.10%	"3,186.06"
First-Line Supervisors of Fire Fighting and Prevention Workers	"44,941"	0.00%	"1,779.39"
"First-Line Supervisors of Protective Service Workers, All Other"	"66,575"	0.10%	"2,336.36"
Firefighters	"265,198"	0.30%	"5,240.61"
Fire Inspectors	"19,259"	0.00%	"1,415.15"
"Bailiffs, Correctional Officers, and Jailers"	"375,720"	0.40%	"6,108.48"
Detectives and Criminal Investigators	"112,869"	0.10%	"3,453.33"
Fish and Game Wardens	"4,716"	0.00%	701.82
Parking Enforcement Workers	"4,730"	0.00%	689.7
Police and Sheriff's Patrol Officers	"669,550"	0.60%	"8,613.94"
Transit and Railroad Police	747	0.00%	266.67
Animal Control Workers	"9,987"	0.00%	"1,096.97"
Private Detectives and Investigators	"70,181"	0.10%	"2,296.97"
Security Guards and Gaming Surveillance Officers	"647,922"	0.60%	"8,623.64"
Crossing Guards	"10,864"	0.00%	"1,272.12"
Transportation Security Screeners	"33,438"	0.00%	"2,129.70"
"Lifeguards and Other Recreational, and All Other Protective Service Workers"	"24,348"	0.00%	"1,905.45"
Chefs and Head Cooks	"346,683"	0.30%	"6,747.27"
First-Line Supervisors of Food Preparation and Serving Workers	"409,285"	0.40%	"6,803.03"
Cooks	"1,201,892"	1.10%	"12,711.52"
Food Preparation Workers	"347,692"	0.30%	"6,364.24"
Bartenders	"226,847"	0.20%	"5,952.12"
"Combined Food Preparation and Serving Workers, Including Fast Food"	"141,425"	0.10%	"4,165.45"
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"	"32,438"	0.00%	"1,870.91"
Waiters and Waitresses	"734,635"	0.70%	"10,629.09"
"Food Servers, Nonrestaurant"	"76,030"	0.10%	"2,833.94"
Dining Room and Cafeteria Attendants and Bartender Helpers	"91,150"	0.10%	"3,572.12"
Dishwashers	"110,513"	0.10%	"4,025.45"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"	"46,117"	0.00%	"2,860"
"Food Preparation and Serving Related Workers, All Other"	"4,658"	0.00%	653.94
First-Line Supervisors of Housekeeping and Janitorial Workers	"173,482"	0.20%	"5,047.27"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"	"128,673"	0.10%	"3,781.82"
Janitors and Building Cleaners	"1,553,626"	1.50%	"12,336.36"
Maids and Housekeeping Cleaners	"790,133"	0.70%	"9,827.88"
Pest Control Workers	"68,409"	0.10%	"2,498.79"
Grounds Maintenance Workers	"802,064"	0.80%	"11,872.12"
First-Line Supervisors of Gaming Workers	"18,772"	0.00%	"1,730.91"
First-Line Supervisors of Personal Service Workers	"74,093"	0.10%	"3,181.82"
Animal Trainers	"29,055"	0.00%	"1,747.88"
Nonfarm Animal Caretakers	"120,981"	0.10%	"3,867.27"
Gaming Services Workers	"61,881"	0.10%	"2,501.21"
Motion Picture Projectionists	"1,303"	0.00%	315.15
"Ushers, Lobby Attendants, and Ticket Takers"	"6,511"	0.00%	741.82
Miscellaneous Entertainment Attendants and Related Workers	"57,391"	0.10%	"2,654.55"
Embalmers and Funeral Attendants	"6,580"	0.00%	864.24
"Morticians, Undertakers, and Funeral Directors"	"30,549"	0.00%	"1,915.15"
Barbers	"68,864"	0.10%	"2,618.18"
"Hairdressers, Hairstylists, and Cosmetologists"	"447,533"	0.40%	"8,091.52"
Miscellaneous Personal Appearance Workers	"206,248"	0.20%	"6,273.33"
"Baggage Porters, Bellhops, and Concierges"	"60,412"	0.10%	"3,206.06"
Tour and Travel Guides	"18,870"	0.00%	"1,459.39"
Childcare Workers	"551,286"	0.50%	"6,955.76"
Personal Care Aides	"692,735"	0.70%	"9,198.79"
Recreation and Fitness Workers	"184,743"	0.20%	"4,264.24"
Residential Advisors	"26,803"	0.00%	"1,481.21"
"Personal Care and Service Workers, All Other"	"73,763"	0.10%	"3,100.61"
First-Line Supervisors of Retail Sales Workers	"2,677,578"	2.50%	"18,322.42"
First-Line Supervisors of Non-Retail Sales Workers	"1,074,798"	1.00%	"10,369.70"
Cashiers	"1,019,364"	1.00%	"10,936.36"
Counter and Rental Clerks	"52,412"	0.10%	"2,555.15"
Parts Salespersons	"92,199"	0.10%	"3,277.58"
Retail Salespersons	"1,716,984"	1.60%	"15,790.91"
Advertising Sales Agents	"148,263"	0.10%	"4,121.21"
Insurance Sales Agents	"442,385"	0.40%	"6,586.06"
"Securities, Commodities, and Financial Services Sales Agents"	"199,539"	0.20%	"4,679.39"
Travel Agents	"49,901"	0.10%	"2,087.27"
"Sales Representatives, Services, All Other"	"534,512"	0.50%	"7,570.91"
"Sales Representatives, Wholesale and Manufacturing"	"1,182,664"	1.10%	"10,249.70"
"Models, Demonstrators, and Product Promoters"	"12,940"	0.00%	"1,130.30"
Real Estate Brokers and Sales Agents	"576,380"	0.50%	"8,838.79"
Sales Engineers	"35,706"	0.00%	"1,693.94"
Telemarketers	"41,866"	0.00%	"2,527.27"
"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"	"49,513"	0.10%	"2,698.18"
"Sales and Related Workers, All Other"	"178,931"	0.20%	"3,661.82"
First-Line Supervisors of Office and Administrative Support Workers	"1,187,429"	1.10%	"10,418.79"
"Switchboard Operators, Including Answering Service"	"17,734"	0.00%	"1,355.15"
Telephone Operators	"24,570"	0.00%	"1,656.97"
"Communications Equipment Operators, All Other"	"6,802"	0.00%	769.09
Bill and Account Collectors	"123,438"	0.10%	"3,608.48"
Billing and Posting Clerks	"396,298"	0.40%	"6,816.97"
"Bookkeeping, Accounting, and Auditing Clerks"	"829,531"	0.80%	"8,874.55"
Gaming Cage Workers	"7,661"	0.00%	903.64
Payroll and Timekeeping Clerks	"131,052"	0.10%	"3,387.27"
Procurement Clerks	"29,591"	0.00%	"1,555.15"
Tellers	"211,343"	0.20%	"5,647.27"
"Financial Clerks, All Other"	"102,650"	0.10%	"3,538.79"
Brokerage Clerks	"5,600"	0.00%	706.67
Correspondence Clerks	"3,925"	0.00%	581.82
"Court, Municipal, and License Clerks"	"62,021"	0.10%	"2,296.36"
"Credit Authorizers, Checkers, and Clerks"	"30,897"	0.00%	"1,780.61"
Customer Service Representatives	"1,782,634"	1.70%	"15,795.76"
"Eligibility Interviewers, Government Programs"	"73,673"	0.10%	"2,738.79"
File Clerks	"137,412"	0.10%	"3,924.85"
"Hotel, Motel, and Resort Desk Clerks"	"85,672"	0.10%	"3,101.21"
"Interviewers, Except Eligibility and Loan"	"85,914"	0.10%	"3,116.97"
"Library Assistants, Clerical"	"32,411"	0.00%	"1,862.42"
Loan Interviewers and Clerks	"111,389"	0.10%	"3,412.12"
New Accounts Clerks	"11,515"	0.00%	943.03
Order Clerks	"97,111"	0.10%	"3,513.33"
"Human Resources Assistants, Except Payroll and Timekeeping"	"41,036"	0.00%	"2,002.42"
Receptionists and Information Clerks	"654,662"	0.60%	"8,787.88"
Reservation and Transportation Ticket Agents and Travel Clerks	"95,666"	0.10%	"3,079.39"
"Information and Record Clerks, All Other"	"78,023"	0.10%	"2,944.85"
Cargo and Freight Agents	"18,080"	0.00%	"1,421.82"
Couriers and Messengers	"141,348"	0.10%	"4,096.97"
Dispatchers	"246,262"	0.20%	"4,838.18"
"Meter Readers, Utilities"	"22,784"	0.00%	"1,495.15"
Postal Service Clerks	"97,883"	0.10%	"2,849.70"
Postal Service Mail Carriers	"281,178"	0.30%	"5,089.09"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators"	"50,704"	0.10%	"1,945.45"
"Production, Planning, and Expediting Clerks"	"283,387"	0.30%	"4,632.12"
"Shipping, Receiving, and Traffic Clerks"	"475,270"	0.50%	"5,824.24"
Stock Clerks and Order Fillers	"905,020"	0.90%	"11,222.42"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"	"58,258"	0.10%	"2,666.06"
Secretaries and Administrative Assistants	"2,226,591"	2.10%	"14,013.33"
Computer Operators	"75,141"	0.10%	"2,609.70"
Data Entry Keyers	"218,791"	0.20%	"4,627.27"
Word Processors and Typists	"198,318"	0.20%	"4,215.76"
Desktop Publishers	"1,413"	0.00%	257.58
Insurance Claims and Policy Processing Clerks	"325,075"	0.30%	"5,363.64"
"Mail Clerks and Mail Machine Operators, Except Postal Service"	"53,499"	0.10%	"2,513.94"
"Office Clerks, General"	"841,347"	0.80%	"9,263.03"
"Office Machine Operators, Except Computer"	"26,251"	0.00%	"1,545.45"
Proofreaders and Copy Markers	"6,113"	0.00%	753.94
Statistical Assistants	"15,243"	0.00%	982.42
"Office and Administrative Support Workers, All Other"	"449,803"	0.40%	"7,043.03"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers"	"50,964"	0.10%	"2,292.12"
Agricultural Inspectors	"12,725"	0.00%	"1,068.48"
Animal Breeders	"3,290"	0.00%	616.36
"Graders and Sorters, Agricultural Products"	"32,820"	0.00%	"1,856.36"
Miscellaneous Agricultural Workers	"470,635"	0.40%	"7,764.24"
Fishing and Hunting Workers	"21,825"	0.00%	"1,634.55"
Forest and Conservation Workers	"9,824"	0.00%	912.73
Logging Workers	"42,033"	0.00%	"2,332.12"
First-Line Supervisors of Construction Trades and Extraction Workers	"670,638"	0.60%	"8,084.24"
Boilermakers	"10,997"	0.00%	"1,100.61"
"Brickmasons, Blockmasons, and Stonemasons"	"98,752"	0.10%	"4,244.85"
Carpenters	"863,456"	0.80%	"10,806.06"
"Carpet, Floor, and Tile Installers and Finishers"	"115,722"	0.10%	"4,722.42"
"Cement Masons, Concrete Finishers, and Terrazzo Workers"	"37,336"	0.00%	"1,966.06"
Construction Laborers	"1,180,144"	1.10%	"10,312.73"
"Paving, Surfacing, and Tamping Equipment Operators"	"11,253"	0.00%	"1,229.09"
"Operating Engineers and Other Construction Equipment Operators, Including Pile-Driver Operators"	"269,313"	0.30%	"5,488.48"
"Drywall Installers, Ceiling Tile Installers, and Tapers"	"97,916"	0.10%	"4,389.09"
Electricians	"647,922"	0.60%	"8,588.48"
Glaziers	"37,172"	0.00%	"2,161.21"
Insulation Workers	"39,022"	0.00%	"2,211.52"
"Painters, Construction and Maintenance"	"359,202"	0.30%	"6,769.09"
Paperhangers	"2,130"	0.00%	457.58
"Pipelayers, Plumbers, Pipefitters, and Steamfitters"	"478,329"	0.50%	"7,748.48"
Plasterers and Stucco Masons	"22,350"	0.00%	"1,932.73"
Reinforcing Iron and Rebar Workers	"5,730"	0.00%	890.3
Roofers	"143,180"	0.10%	"4,917.58"
Sheet Metal Workers	"97,860"	0.10%	"3,252.12"
Structural Iron and Steel Workers	"45,672"	0.00%	"2,517.58"
"Helpers, Construction Trades"	"26,342"	0.00%	"2,021.82"
Construction and Building Inspectors	"74,917"	0.10%	"2,804.24"
Elevator Installers and Repairers	"22,574"	0.00%	"1,322.42"
Fence Erectors	"22,014"	0.00%	"1,860.61"
Hazardous Materials Removal Workers	"23,647"	0.00%	"1,508.48"
Highway Maintenance Workers	"84,345"	0.10%	"2,808.48"
Rail-Track Laying and Maintenance Equipment Operators	"10,530"	0.00%	"1,475.15"
Septic Tank Servicers and Sewer Pipe Cleaners	"9,144"	0.00%	985.45
"Miscellaneous Construction and Related Workers, Including Solar Photovoltaic Installers"	"44,893"	0.00%	"2,160.61"
"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining"	"15,635"	0.00%	"1,390.30"
"Earth Drillers, Except Oil and Gas"	"19,354"	0.00%	"1,289.70"
"Explosives Workers, Ordnance Handling Experts, and Blasters"	"9,819"	0.00%	"1,225.45"
Mining Machine Operators	"41,476"	0.00%	"1,822.42"
"Roof Bolters, Mining"	"1,602"	0.00%	332.73
"Roustabouts, Oil and Gas"	"4,808"	0.00%	635.15
Helpers--Extraction Workers	"1,490"	0.00%	402.42
Other Extraction Workers	"37,639"	0.00%	"1,977.58"
"First-Line Supervisors of Mechanics, Installers, and Repairers"	"245,683"	0.20%	"4,921.21"
"Computer, Automated Teller, and Office Machine Repairers"	"145,593"	0.10%	"3,638.79"
Radio and Telecommunications Equipment Installers and Repairers	"138,322"	0.10%	"3,811.52"
Avionics Technicians	"14,223"	0.00%	"1,151.52"
"Electric Motor, Power Tool, and Related Repairers"	"19,319"	0.00%	"1,670.30"
"Electrical and Electronics Installers and Repairers, Transportation Equipment"	"1,414"	0.00%	332.73
"Electrical and Electronics Repairers, Industrial and Utility"	"11,642"	0.00%	"1,233.33"
"Electronic Equipment Installers and Repairers, Motor Vehicles"	"6,365"	0.00%	648.48
Electronic Home Entertainment Equipment Installers and Repairers	"30,552"	0.00%	"1,952.73"
Security and Fire Alarm Systems Installers	"55,556"	0.10%	"2,586.67"
Aircraft Mechanics and Service Technicians	"135,682"	0.10%	"3,813.33"
Automotive Body and Related Repairers	"119,554"	0.10%	"3,622.42"
Automotive Glass Installers and Repairers	"13,994"	0.00%	"1,229.70"
Automotive Service Technicians and Mechanics	"726,437"	0.70%	"9,353.94"
Bus and Truck Mechanics and Diesel Engine Specialists	"274,372"	0.30%	"5,778.18"
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	"185,817"	0.20%	"3,953.33"
Small Engine Mechanics	"33,288"	0.00%	"1,936.97"
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"	"59,830"	0.10%	"2,589.70"
Control and Valve Installers and Repairers	"16,320"	0.00%	"1,303.03"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	"328,423"	0.30%	"6,518.79"
Home Appliance Repairers	"29,270"	0.00%	"1,757.58"
Industrial and Refractory Machinery Mechanics	"350,416"	0.30%	"6,081.21"
"Maintenance and Repair Workers, General"	"438,171"	0.40%	"6,670.91"
"Maintenance Workers, Machinery"	"26,300"	0.00%	"1,736.36"
Millwrights	"37,285"	0.00%	"1,944.24"
Electrical Power-Line Installers and Repairers	"106,191"	0.10%	"3,521.82"
Telecommunications Line Installers and Repairers	"125,604"	0.10%	"3,633.94"
Precision Instrument and Equipment Repairers	"47,211"	0.00%	"2,253.94"
"Coin, Vending, and Amusement Machine Servicers and Repairers"	"26,515"	0.00%	"1,664.85"
Commercial Divers	"4,002"	0.00%	"1,204.24"
Locksmiths and Safe Repairers	"20,462"	0.00%	"1,658.79"
Manufactured Building and Mobile Home Installers	"2,508"	0.00%	603.64
Riggers	"10,169"	0.00%	"1,115.15"
Signal and Track Switch Repairers	"4,503"	0.00%	641.82
"Helpers--Installation, Maintenance, and Repair Workers"	"12,046"	0.00%	"1,007.27"
"Other Installation, Maintenance, and Repair Workers, Including Wind Turbine Service Technicians"	"204,755"	0.20%	"5,594.55"
First-Line Supervisors of Production and Operating Workers	"836,803"	0.80%	"10,023.64"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"	"5,359"	0.00%	821.21
"Electrical, Electronics, and Electromechanical Assemblers"	"105,464"	0.10%	"3,200"
Engine and Other Machine Assemblers	"11,383"	0.00%	"1,027.88"
